Video_ID,Video_Name,Date,View_Count,Like_Count,Comment_Count,Tags
t2CEgPsws3U,Data Structures and Algorithms in JavaScript - Full Course for Beginners,2018-09-04T18:16:17Z,996206,23169,506,"['data structures and algorithms', 'data structures and algorithms tutorial', 'data structures tutorial', 'algorithms tutorial', 'arrays', 'hash maps', 'hash tables', 'data structures', 'algorithms', 'javascript', 'data strucutes for beginners', 'algorithms for beginners', 'stacks', 'queues', 'priority queues', 'heap', 'graphs', 'binary search tree', 'linked list', 'sets', 'trie', 'adjacency list', 'adjacency matrix', 'incidence matrix', 'binary search', 'programming']"
iLx4ma8ZqvQ,...spread operator and rest operator - Beau teaches JavaScript,2017-03-22T18:04:50Z,147948,5486,173,"['spread', 'rest', 'operator', 'arrays', 'condense elements', 'spread operator']"
r6SnMjsLrBk,"Objects, part 2: Beau teaches JavaScript",2017-03-21T19:12:12Z,16351,255,5,"['tutorial', 'lookups', 'delete', 'remove', 'nested objects', 'keys', 'array']"
r7v6EIiHfVA,Logical operators && TRICKS with short-circuit evaluation - Beau teaches JavaScript,2017-03-20T16:44:04Z,67109,1040,38,"['javascript', 'short circuit', 'short-circuit', 'evalucation', 'tricks', 'programming', 'logical operators', '&&', '||']"
bK7I79hcm08,Queues & Priority Queues - Beau teaches JavaScript,2017-03-19T19:32:07Z,42117,544,27,"['queue', 'dequeue', 'enqueue', 'priority', 'data structure', 'javascirpt', 'stack']"
XzdhzyAukMM,Clean Code: SOLID - Beau teaches JavaScript,2017-03-18T18:54:26Z,78003,1781,32,"['solid', 'single responsibility', 'open closed', 'liskov substitution', 'interface segregation', 'dependency inversion', 'clean code']"
QEZXbRiaY1I,Arrays - Beau teaches JavaScript,2017-03-17T16:44:11Z,19029,255,7,"['arrays', 'foreach', 'iteration', 'strings', 'nested']"
bq_jZY6Skto,Classes - Beau teaches JavaScript,2017-03-16T16:56:37Z,40870,812,32,"['expressions', 'declarations', 'ECMAScript 6', 'inheritance', 'extend', 'class', 'classes', 'tutorial']"
s4sB1hm73tw,Ternary Operator - Beau teaches JavaScript,2017-03-15T16:33:44Z,53577,1272,42,"['javascript', 'ternary', 'conditional', 'operator']"
QqLkkBKVDyM,React Basics - Beau teaches JavaScript,2017-03-14T16:27:53Z,32206,538,28,"['react', 'component', 'javascript', 'jsx', 'state', 'props', 'virtualdom', 'tutorial']"
24Wpg6njlYI,For Loops - Beau teaches JavaScript,2017-03-13T17:11:07Z,90097,1706,85,"['for loops', 'for', 'nested', 'iteration', 'iterate']"
KcfiBrL2Pq4,Clean Code: Classes - Beau teaches JavaScript,2017-03-11T17:36:47Z,11893,249,7,"['clean code', 'method chaining', 'es6', 'inheritance']"
Urwzk6ILvPQ,"Array Iteration: 8 Methods - map, filter, reduce, some, every, find, findIndex, forEach",2017-03-10T21:46:55Z,122121,3383,126,"['array', 'iterate', 'javascript', 'forEach', 'map', 'filter', 'reduce', 'sum', 'every', 'find', 'findIndex']"
1JsJx1x35c0,Closures - Beau teaches JavaScript,2017-03-09T17:59:17Z,73676,1585,71,"['javascript', 'es6', 'closures', 'functions', 'programming', 'functional programming']"
R8SjM4DKK80,Functions - Beau teaches JavaScript,2017-03-08T17:56:53Z,67333,1127,43,"['function', 'return', 'nested', 'hoisting', 'parameter', 'arguments']"
nBEBraDJkFg,Numbers - Beau teaches JavaScript,2017-03-07T18:01:47Z,30911,364,16,"['numbers', 'javascript', 'increment', 'decrement']"
kVOmc7NK1M0,== vs === - Beau teaches JavaScript,2017-03-06T15:55:45Z,44254,871,42,"['double equal', 'tripple equal', 'javascript', 'equality']"
wl8u02IdVxo,Sets (data structure) - Beau teaches JavaScript,2017-03-05T14:00:06Z,30768,325,17,"['set', 'sets', 'es6', 'data structure', 'data structures']"
NPtnp0w_mmA,Clean Code: Objects - Beau teaches JavaScript,2017-03-04T17:23:30Z,13948,305,11,"['javascirpt', 'objects', 'clean code']"
gANDd4l-G5U,Symbols - Beau teaches JavaScript,2017-03-03T19:54:23Z,30423,631,42,"['javascript', 'es6', 'symbols', 'tips', 'symbol()', 'symbol']"
OMXtJ0USM8s,Desktop Notifications - Beau teaches JavaScript,2017-03-02T17:58:33Z,23812,498,27,"['notifications api', 'notifications', 'desktop', 'push', 'training', 'beginner']"
le-URjBhevE,Variables - Beau teaches JavaScript,2017-03-01T18:40:28Z,164728,1460,43,"['variables', 'var', 'const', 'let', 'JavaScript']"
B-k76DMOj2k,JSON - Beau teaches JavaScript,2017-02-28T18:41:20Z,18450,291,14,"['javascript', 'json', 'jason', 'object', 'notation']"
808eYu9B9Yw,Data Types - Beau teaches JavaScript,2017-02-27T17:40:31Z,60378,784,47,"['JavaScript', 'Data Types', 'variables', 'es6']"
bgU7FeiWKzc,Singleton Design Pattern - Beau teaches JavaScript,2017-02-26T20:09:29Z,43766,510,23,"['singleton', 'design pattern', 'design', 'instance', 'object', 'javascript']"
43YenciicXk,Clean Code: Functions (Part 2) - Beau teaches JavaScript,2017-02-25T18:50:30Z,18320,396,14,"['clean code', 'javascript', 'reusable', 'refactorable', 'functions']"
Gj5qBheGOEo,Stacks (Data Structure) - Beau teaches JavaScript,2017-02-24T18:04:50Z,98998,1066,49,"['stacks', 'data', 'structure', 'datastructure', 'array', 'arrays', 'javascript']"
kj8HU-_P2NU,Template Literals (ES6) - Beau teaches JavaScript,2017-02-23T18:11:02Z,22439,388,27,"['javascript', 'es6', 'template literals', 'backticks', 'multiline']"
IGYxfTTpoFg,Promises - Beau teaches JavaScript,2017-02-22T19:30:21Z,29379,506,41,"['javascript', 'promises', 'async', 'asynchronous', 'training']"
fM5qnyasUYI,Switch Statements - Beau teaches JavaScript,2017-02-21T17:36:14Z,74517,1244,58,"['javascript', 'switch', 'switch statement', 'control', 'control structure']"
Gp5nnerXETg,Objects - Beau teaches JavaScript,2017-02-20T17:25:11Z,41472,682,46,"['javascript', 'objects', 'programming', 'coding']"
3PUVr8jFMGg,Observer Design Pattern - Beau teaches JavaScript,2017-02-19T11:01:37Z,24413,341,15,"['observer', 'design pattern', 'javascript']"
RR_dQ4sBSBM,Clean Code: Functions (Part 1) - Beau teaches JavaScript,2017-02-19T02:09:27Z,51352,1003,28,"['javascript', 'clean code', 'clean', 'functions']"
vExLi5bTt3k,Proxies (ES6) - Beau teaches JavaScript,2017-02-17T19:47:40Z,10526,205,7,"['javascript', 'es6', 'proxies', 'proxy', 'validation', 'objects']"
C1PZh_ea-7I,Hoisting - Beau teaches JavaScript,2017-02-16T17:46:50Z,47265,908,50,"['javascript', 'hoisting', 'variables', 'functions', 'declarations', 'definitions']"
VRz0nbax0uI,20 String Methods in 7 Minutes - Beau teaches JavaScript,2017-02-15T18:00:37Z,127642,2965,80,"['javascript', 'strings', 'string methods', 'charAt', 'charCodeAt', 'concat', 'endsWith', 'fromCharCode', 'includes', 'indexOf', 'lastIndexOf', 'match', 'repeat', 'replace', 'search', 'slice', 'split', 'startsWith', 'substr', 'substring', 'toLowerCase', 'toUpperCase', 'trim']"
